OBJECTID_1,OBJECTID,tx_nome,Shape__Area,Shape__Length,tx_legislacao
1,256,Varzea das Moças,7289404.77734375,15664.7254687436,Lei Urbanística Nº 3905/2024
2,2,Muriqui,8113597.00390625,13646.2934980711,Lei Urbanística Nº 3905/2024
3,4,Rio do Ouro,4949781.69140625,11637.973967702,Lei Urbanística Nº 3905/2024
4,8,Serra Grande,5032194.85546875,12903.6604691719,Lei Urbanística Nº 3905/2024
5,9,Cafubá,4419896.58105469,9963.85551140066,Lei Urbanística Nº 3905/2024
6,14,Maravista,2244235.71875,7019.01752525008,Lei Urbanística Nº 3905/2024
7,15,Piratininga,9423544.25292969,18619.4931682139,Lei Urbanística Nº 3905/2024
8,16,Engenho do Mato,7208836.01025391,17432.9571823547,Lei Urbanística Nº 3905/2024
9,17,Jacaré,5682860.78613281,12947.1917458484,Lei Urbanística Nº 3905/2024
10,18,Itacoatiara,2652455.77099609,12839.7096948876,Lei Urbanística Nº 3905/2024
11,266,Camboínhas,2506410.22363281,9192.2691025585,Lei Urbanística Nº 3905/2024
12,20,Santo Antônio,2595617.18505859,6728.74870589114,Lei Urbanística Nº 3905/2024
13,21,Maceió,1012955.00488281,4396.43578492378,Lei Urbanística Nº 3905/2024
14,22,Cantagalo,2540255.63867188,7799.60334044456,Lei Urbanística Nº 3905/2024
15,23,Maria Paula,2410321.31494141,8072.21800476089,Lei Urbanística Nº 3905/2024
16,24,Matapaca,1407125.30957031,5564.84687567087,Lei Urbanística Nº 3905/2024
17,25,Badu,1290153.67236328,7066.2624813153,Lei Urbanística Nº 3905/2024
18,26,Largo da Batalha,1618071.94970703,9708.06306999306,Lei Urbanística Nº 3905/2024
19,27,Sapê,2669143.89648438,9352.05441369181,Lei Urbanística Nº 3905/2024
20,28,Ititioca,1362101.33935547,6291.75239533627,Lei Urbanística Nº 3905/2024
21,29,Santa Bárbara,2109652.53564453,6594.31535621706,Lei Urbanística Nº 3905/2024
22,30,Barreto,2261451.48535156,8906.63689916872,Lei Urbanística Nº 3905/2024
23,31,Vila Progresso,3362915.15087891,10907.9829625876,Lei Urbanística Nº 3905/2024
24,32,Engenhoca,1899663.59570312,6659.73203354974,Lei Urbanística Nº 3905/2024
25,33,Fonseca,5858205.28125,12682.1865596794,Lei Urbanística Nº 3905/2024
26,34,Caramujo,2393331.95654297,7978.51383883662,Lei Urbanística Nº 3905/2024
27,35,Cubango,1011244.14306641,4424.64325671563,Lei Urbanística Nº 3905/2024
28,36,Santana,1035239.07421875,5834.86807977658,Lei Urbanística Nº 3905/2024
29,37,Tenente Jardim,493272.796875,4145.77909372417,Lei Urbanística Nº 3905/2024
30,44,São Lourenço,1047620.54199219,4821.31748414001,Lei Urbanística Nº 3905/2024
31,45,Viçoso Jardim,1264754.3671875,6693.12089169741,Lei Urbanística Nº 3905/2024
32,46,Baldeador,1963372.77734375,6322.09194614101,Lei Urbanística Nº 3905/2024
33,49,São Francisco,3145064.57861328,12063.9764363269,Lei Urbanística Nº 3905/2024
34,50,Charitas,2389729.00488281,9472.39447993006,Lei Urbanística Nº 3905/2024
35,290,Ponta D'Areia,1191828.8671875,7308.54061046249,Lei Urbanística Nº 3905/2024
36,291,Gragoata,239782.31640625,2098.06911344467,Lei Urbanística Nº 3905/2024
37,53,São Domingos,735405.190917969,4490.28553726858,Lei Urbanística Nº 3905/2024
38,54,Jurujuba,2392575.81152344,13251.847614539,Lei Urbanística Nº 3905/2024
39,55,Viradouro,463558.081542969,3795.31992166418,Lei Urbanística Nº 3905/2024
40,56,Cachoeira,609642.186035156,4891.68253797675,Lei Urbanística Nº 3905/2024
41,57,Santa Rosa,2453336.53222656,9301.87040856808,Lei Urbanística Nº 3905/2024
42,58,Bairro de Fátima,654789.433105469,4053.43705279083,Lei Urbanística Nº 3905/2024
43,59,Pé Pequeno,366983.223632812,2546.55987911815,Lei Urbanística Nº 3905/2024
44,60,Icaraí,2409131.00830078,7736.7508611367,Lei Urbanística Nº 3905/2024
45,61,Ingá,642525.092285156,4784.91100772132,Lei Urbanística Nº 3905/2024
46,62,Morro do Estado,140175.373535156,1641.00149634396,Lei Urbanística Nº 3905/2024
47,63,Centro,2306977.60009766,9344.02179217865,Lei Urbanística Nº 3905/2024
48,64,Vital Brazil,398790.609375,2641.29280310661,Lei Urbanística Nº 3905/2024
49,307,Itaipu,7204709.51074219,23020.4662313029,Lei Urbanística Nº 3905/2024
50,43,Ilha da Conceição,2018655.94335938,17310.0258639307,Lei Urbanística Nº 3905/2024
51,48,Boa Viagem,243046.392578125,4075.82574628078,Lei Urbanística Nº 3905/2024
52,322,Jardim Imbui,2899418.71240234,12153.9518190808,Lei Urbanística Nº 3905/2024
