"Bairro";"Populacao residente"
"Total";"478845"
"BADU";"7052"
"BAIRRO DE FATIMA";"3758"
"BALDEADOR";"4292"
"BARRETO";"18614"
"BOA VIAGEM";"1925"
"CACHOEIRA";"2977"
"CAFUBA";"4530"
"CAMBOINHAS";"6128"
"CANTAGALO";"9817"
"CARAMUJO";"8387"
"CENTRO";"17239"
"CHARITAS";"10499"
"CUBANGO";"8230"
"ENGENHO DO MATO";"12763"
"ENGENHOCA";"16629"
"FONSECA";"45943"
"GRAGOATA";"234"
"ICARAI";"76981"
"ILHA DA CONCEICAO";"5709"
"INGA";"15079"
"ITACOATIARA";"2181"
"ITAIPU";"7814"
"ITITIOCA";"5844"
"JACARE";"4866"
"JARDIM IMBUI";"1160"
"JURUJUBA";"3746"
"LARGO DA BATALHA";"9593"
"MACEIO";"4052"
"MARAVISTA";"10578"
"MARIA PAULA";"6423"
"MATAPACA";"1039"
"MORRO DO ESTADO";"3111"
"MURIQUI";"1020"
"PE PEQUENO";"3319"
"PIRATININGA";"18451"
"PONTA D\'AREIA";"5633"
"RIO DO OURO";"3592"
"SANTA BARBARA";"6553"
"SANTA ROSA";"34000"
"SANTANA";"6779"
"SANTO ANTONIO";"5754"
"SAO DOMINGOS";"4382"
"SAO FRANCISCO";"8936"
"SAO LOURENCO";"7094"
"SAPE";"6436"
"SERRA GRANDE";"10128"
"TENENTE JARDIM";"2997"
"VARZEA DAS MOCAS";"2771"
"VICOSO JARDIM";"4318"
"VILA PROGRESSO";"3830"
"VIRADOURO";"2776"
"Total";"2883"
